timestamp,long,lat,individual-local-identifier
2008-09-30 07:37:00,-2.79586,56.43484,gp13-902-08
2008-09-30 09:34:44,-2.79092,56.43229,gp13-902-08
2008-09-30 09:38:00,-2.78649,56.43244,gp13-902-08
2008-09-30 10:08:52,-2.78457,56.43176,gp13-902-08
2008-09-30 12:08:56,-2.80081,56.42937,gp13-902-08
2008-09-30 12:37:00,-2.80107,56.43134,gp13-902-08
2008-09-30 13:07:00,-2.80097,56.43566,gp13-902-08
2008-09-30 20:07:00,-2.79693,56.43498,gp13-902-08
2008-09-30 22:13:12,-2.79297,56.43422,gp13-902-08
2008-09-30 22:38:56,-2.79315,56.43728,gp13-902-08
2008-09-30 23:08:24,-2.79176,56.43635,gp13-902-08
2008-09-30 23:44:08,-2.79225,56.4386,gp13-902-08
2008-10-01 02:10:36,-2.84181,56.44579,gp13-902-08
2008-10-01 07:07:00,-2.79575,56.43476,gp13-902-08
2008-10-01 07:37:48,-2.79385,56.4335,gp13-902-08
2008-10-01 08:07:00,-2.79578,56.43482,gp13-902-08
2008-10-01 12:55:12,-2.79685,56.4353,gp13-902-08
2008-10-01 13:09:20,-2.79453,56.4351,gp13-902-08
2008-10-01 13:37:16,-2.79258,56.43599,gp13-902-08
2008-10-01 19:08:56,-2.79345,56.43566,gp13-902-08
2008-10-02 00:07:00,-2.79706,56.43494,gp13-902-08
2008-10-02 06:39:32,-2.79752,56.43467,gp13-902-08
2008-10-02 07:10:44,-2.7923,56.43389,gp13-902-08
2008-10-02 08:37:36,-2.79432,56.43504,gp13-902-08
2008-10-02 09:37:00,-2.79427,56.43386,gp13-902-08
2008-10-02 17:40:40,-2.80776,56.44938,gp13-902-08
2008-10-02 19:37:20,-2.79288,56.43251,gp13-902-08
2008-10-02 21:07:08,-2.79133,56.43458,gp13-902-08
2008-10-02 22:37:00,-2.79417,56.43423,gp13-902-08
2008-10-03 14:37:04,-2.39205,56.60838,gp13-902-08
2008-10-03 15:11:04,-2.36963,56.61895,gp13-902-08
2008-10-03 15:38:52,-2.3515,56.62752,gp13-902-08
2008-10-03 18:38:28,-2.23064,56.66645,gp13-902-08
2008-10-03 19:08:36,-2.20822,56.67869,gp13-902-08
2008-10-03 19:39:32,-2.19255,56.70048,gp13-902-08
2008-10-03 20:43:32,-2.16177,56.74302,gp13-902-08
2008-10-03 21:07:08,-2.15373,56.75701,gp13-902-08
2008-10-03 21:43:08,-2.13647,56.77872,gp13-902-08
2008-10-03 22:11:00,-2.12094,56.79683,gp13-902-08
2008-10-03 23:08:52,-2.09615,56.83441,gp13-902-08
2008-10-04 00:10:36,-2.06363,56.87535,gp13-902-08
2008-10-04 02:10:36,-2.00668,56.93311,gp13-902-08
2008-10-04 05:09:56,-2.00424,57.00466,gp13-902-08
2008-10-04 06:37:16,-1.97504,57.03923,gp13-902-08
2008-10-04 07:09:04,-1.96557,57.04829,gp13-902-08
2008-10-04 07:42:52,-1.95201,57.06842,gp13-902-08
2008-10-04 08:10:32,-1.93438,57.08681,gp13-902-08
2008-10-04 11:09:08,-1.82168,57.21317,gp13-902-08
2008-10-04 12:09:16,-1.7875,57.25787,gp13-902-08
2008-10-04 13:07:00,-1.75752,57.29318,gp13-902-08
2008-10-04 13:37:00,-1.74054,57.30568,gp13-902-08
2008-10-04 14:10:20,-1.72511,57.31748,gp13-902-08
2008-10-04 14:37:00,-1.71541,57.32578,gp13-902-08
2008-10-04 15:09:48,-1.70018,57.3313,gp13-902-08
2008-10-04 20:07:00,-1.76065,57.4612,gp13-902-08
2008-10-04 20:37:00,-1.75871,57.49157,gp13-902-08
2008-10-04 22:37:04,-1.79735,57.55841,gp13-902-08
2008-10-05 00:09:44,-1.82158,57.59061,gp13-902-08
2008-10-05 02:40:12,-1.8326,57.63687,gp13-902-08
2008-10-05 06:38:48,-1.79917,57.64412,gp13-902-08
2008-10-05 10:39:08,-1.87368,57.81744,gp13-902-08
2008-10-05 13:07:52,-1.94831,57.88324,gp13-902-08
2008-10-05 20:07:08,-2.16416,58.06667,gp13-902-08
